managerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
wr ighha0 1m ,1871,BS1,,1,31,20,10,3,Y
woodji0 1m ,1871,CH1,,1,28,19,9,2,Y
p ab o r c h01m,1871,CL1,,1,29,10,19,8,Y
lennobi01m,1871,FW1,,1,14,5,9,8,Y
de an e ha01 m,1871,FW1,,2,5,2,3,8,Y
ferg ubo01 m ,1871,NY2,,1,33,16,17,5,Y
mc bri di 0 1 m ,1871,PH1,,1,28,21,7,1,Y
hastisc01m,1871,RC1,,1,25,4,21,9,Y
pikeli01m,1871,TRO,,1,4,1,3,6,Y
c r ave b i0 1m,1871,TRO,,2,25,12,12,6,Y
yo ung ni 99 m,1871,WS3,,1,32,15,15,4,N
c rav eb i0 1m,1872,BL1,,1,41,27,13,2,Y
mi l ls ev 0 1 m,1872,BL1,,2,17,8,6,2,Y
clintji01m,1872,BR1,,1,11,0,11,9,Y
w oo dj i01m,1872,BR1,,2,18,3,15,9,Y
fergubo01m,1872,BR2,,1,37,9,28,7,Y
wrighha01m,1872,BS1,,1,48,39,8,1,Y
hastisc01m,1872,CL1,,1,20,6,14,7,Y
whi te d e01m,1872,CL1,,2,2,0,2,7,Y
cl a ppjo 01m,1872,MID,,1,24,5,19,9,Y
p earc di0 1m,1872,NY2,,1,16,10,6,3,Y
hatfijo01m,1872,NY2,,2,40,24,14,3,Y
mcbridi01m,1872,PH1,,1,47,30,14,2,Y
woodji01m,1872,TRO,,1,25,15,10,5,Y
y oungn i 9 9m,1872,WS3,,1,9,2,7,8,N
millejo01m,1872,WS4,,1,11,0,11,11,Y
m cvey c a 0 1 m,1873,BL1,,1,33,20,13,3,Y
careyto01m,1873,BL1,,2,24,14,9,3,Y
smithbi01m,1873,BL4,,1,5,0,5,9,Y
f e r g u b o 01m,1873,BR2,,1,55,17,37,6,Y
wrighha01m,1873,BS1,,1,60,43,16,1,Y
allisdo01m,1873,ELI,,1,23,2,21,8,N
hatfijo01m,1873,NY2,,1,28,11,17,4,Y
startjo01m,1873,NY2,,2,25,18,7,4,Y
mcbridi01m,1873,PH1,,1,52,28,23,4,Y
malonf e0 1 m,1873,PH2,,1,10,8,2,2,Y
wo o dji 0 1m ,1873,PH2,,2,43,28,15,2,Y
